DateTime,City,Noise_Level_dB,Traffic_Count,temperature,wind_speed,precipitation,humidity,pm25
2024-01-01 00:00:00,New York,63.7,274,1.9,6.3,0.0,74.0,7.1
2024-01-01 01:00:00,New York,64.3,190,1.8,8.9,0.0,76.0,5.9
2024-01-01 02:00:00,New York,64.0,183,2.8,11.4,0.0,74.0,5.7
2024-01-01 03:00:00,New York,64.8,94,2.9,9.7,0.0,74.0,4.4
2024-01-01 04:00:00,New York,58.5,62,2.8,8.1,0.0,76.0,3.9
2024-01-01 05:00:00,New York,59.9,332,0.7,7.5,0.0,88.0,8.4
2024-01-01 06:00:00,New York,70.3,590,0.2,8.6,0.0,91.0,12.8
2024-01-01 07:00:00,New York,71.7,2354,1.5,3.7,0.0,88.0,41.4
2024-01-01 08:00:00,New York,74.1,1776,1.9,5.0,0.0,86.0,31.6
2024-01-01 09:00:00,New York,72.4,1544,3.2,4.7,0.0,81.0,27.1
2024-01-01 10:00:00,New York,70.7,763,3.8,5.0,0.0,77.0,14.6
2024-01-01 11:00:00,New York,70.3,1194,4.7,6.8,0.0,72.0,20.6
2024-01-01 12:00:00,New York,68.8,789,5.6,6.5,0.0,69.0,14.4
2024-01-01 13:00:00,New York,71.0,960,6.7,6.2,0.0,64.0,16.3
2024-01-01 14:00:00,New York,72.3,1052,7.7,8.2,0.0,59.0,17.1
2024-01-01 15:00:00,New York,66.9,1178,7.5,8.6,0.0,59.0,18.8
2024-01-01 16:00:00,New York,76.9,1963,7.3,8.9,0.0,58.0,29.1
2024-01-01 17:00:00,New York,72.6,1486,7.0,8.0,0.0,59.0,22.9
2024-01-01 18:00:00,New York,70.9,1815,4.8,6.8,0.0,72.0,29.7
2024-01-01 19:00:00,New York,74.2,1522,3.3,7.1,0.0,79.0,26.4
2024-01-01 20:00:00,New York,73.7,862,2.0,7.1,0.0,87.0,17.0
2024-01-01 21:00:00,New York,71.4,807,2.2,11.2,0.0,79.0,15.4
2024-01-01 22:00:00,New York,71.2,955,1.7,13.7,0.0,70.0,16.8
2024-01-01 23:00:00,New York,72.0,565,0.7,14.3,0.0,73.0,11.4
2024-01-02 00:00:00,New York,64.2,223,-0.3,13.7,0.0,78.0,6.4
2024-01-02 01:00:00,New York,58.1,134,-1.1,12.8,0.0,78.0,5.1
2024-01-02 02:00:00,New York,62.3,61,-1.8,12.4,0.0,79.0,3.9
2024-01-02 03:00:00,New York,61.0,70,-2.2,10.8,0.0,79.0,4.1
2024-01-02 04:00:00,New York,64.5,62,-2.8,9.7,0.0,80.0,4.0
2024-01-02 05:00:00,New York,61.6,355,-3.4,8.8,0.0,83.0,8.6
2024-01-02 06:00:00,New York,72.1,486,-3.9,8.4,0.0,87.0,10.9
2024-01-02 07:00:00,New York,72.8,2224,-4.2,7.0,0.0,88.0,39.3
2024-01-02 08:00:00,New York,74.5,1764,-4.6,6.4,0.0,89.0,31.9
2024-01-02 09:00:00,New York,75.1,1904,-2.8,8.1,0.0,80.0,32.5
2024-01-02 10:00:00,New York,66.8,1090,-0.9,9.0,0.0,67.0,18.5
2024-01-02 11:00:00,New York,72.4,1258,0.6,9.6,0.0,61.0,20.1
